closure	type	ncols_dst	fused_variants	registers	local_bytes	shared_bytes
88681bf4d161	Q8_0	1	unfused	64	0	384
88681bf4d161	Q8_0	2	unfused	48	0	1536
88681bf4d161	Q8_0	3	unfused	56	0	2304
88681bf4d161	Q8_0	4	unfused	64	0	3072
88681bf4d161	Q8_0	5	unfused	72	0	1280
88681bf4d161	Q8_0	6	unfused	78	0	1536
88681bf4d161	Q8_0	7	unfused	80	0	1792
88681bf4d161	Q8_0	8	unfused	94	0	2048
88681bf4d161	Q8_0	9	unfused	96	0	2304
88681bf4d161	Q8_0	10	unfused	96	0	2560
88681bf4d161	Q8_0	11	unfused	114	0	2816
88681bf4d161	Q8_0	12	unfused	114	0	3072
88681bf4d161	Q8_0	13	unfused	118	0	3328
88681bf4d161	Q8_0	14	unfused	122	0	3584
88681bf4d161	Q8_0	15	unfused	128	0	3840
88681bf4d161	Q8_0	16	unfused	136	0	4096
8680bc95e989	Q8_0	1	unfused	64	0	384
8680bc95e989	Q8_0	2	unfused	48	0	1536
8680bc95e989	Q8_0	3	unfused	56	0	2304
8680bc95e989	Q8_0	4	unfused	64	0	3072
8680bc95e989	Q8_0	5	unfused	72	0	1280
8680bc95e989	Q8_0	6	unfused	78	0	1536
8680bc95e989	Q8_0	7	unfused	80	0	1792
8680bc95e989	Q8_0	8	unfused	94	0	2048
8680bc95e989	Q8_0	9	unfused	96	0	2304
8680bc95e989	Q8_0	10	unfused	96	0	2560
8680bc95e989	Q8_0	11	unfused	114	0	2816
8680bc95e989	Q8_0	12	unfused	114	0	3072
8680bc95e989	Q8_0	13	unfused	118	0	3328
8680bc95e989	Q8_0	14	unfused	122	0	3584
8680bc95e989	Q8_0	15	unfused	128	0	3840
8680bc95e989	Q8_0	16	unfused	136	0	4096
8680bc95e989	Q8_0	17	unfused	146	0	4352
8680bc95e989	Q8_0	18	unfused	148	0	4608
8680bc95e989	Q8_0	19	unfused	152	0	4864
8680bc95e989	Q8_0	20	unfused	153	0	5120
137b2a23a42c	Q8_0	1	unfused	64	0	384
137b2a23a42c	Q8_0	2	unfused	48	0	1536
137b2a23a42c	Q8_0	3	unfused	56	0	2304
137b2a23a42c	Q8_0	4	unfused	64	0	3072
137b2a23a42c	Q8_0	5	unfused	72	0	1280
137b2a23a42c	Q8_0	6	unfused	78	0	1536
137b2a23a42c	Q8_0	7	unfused	80	0	1792
137b2a23a42c	Q8_0	8	unfused	94	0	2048
137b2a23a42c	Q8_0	9	unfused	96	0	2304
137b2a23a42c	Q8_0	10	unfused	96	0	2560
137b2a23a42c	Q8_0	11	unfused	114	0	2816
137b2a23a42c	Q8_0	12	unfused	114	0	3072
137b2a23a42c	Q8_0	13	unfused	118	0	3328
137b2a23a42c	Q8_0	14	unfused	122	0	3584
137b2a23a42c	Q8_0	15	unfused	128	0	3840
137b2a23a42c	Q8_0	16	unfused	136	0	4096
137b2a23a42c	Q8_0	17	unfused	146	0	4352
137b2a23a42c	Q8_0	18	unfused	148	0	4608
137b2a23a42c	Q8_0	19	unfused	152	0	4864
137b2a23a42c	Q8_0	20	unfused	153	0	5120
73af02b39194	Q8_0	1	unfused	64	0	384
73af02b39194	Q8_0	2	unfused	48	0	1536
73af02b39194	Q8_0	3	unfused	56	0	2304
73af02b39194	Q8_0	4	unfused	64	0	3072
73af02b39194	Q8_0	5	unfused	72	0	1280
73af02b39194	Q8_0	6	unfused	78	0	1536
73af02b39194	Q8_0	7	unfused	80	0	1792
73af02b39194	Q8_0	8	unfused	94	0	2048
73af02b39194	Q8_0	9	unfused	96	0	2304
73af02b39194	Q8_0	10	unfused	96	0	2560
73af02b39194	Q8_0	11	unfused	114	0	2816
73af02b39194	Q8_0	12	unfused	114	0	3072
73af02b39194	Q8_0	13	unfused	118	0	3328
73af02b39194	Q8_0	14	unfused	122	0	3584
73af02b39194	Q8_0	15	unfused	128	0	3840
73af02b39194	Q8_0	16	unfused	136	0	4096
73af02b39194	Q8_0	17	unfused	146	0	4352
73af02b39194	Q8_0	18	unfused	148	0	4608
73af02b39194	Q8_0	19	unfused	152	0	4864
