run	arm	pp_forward	pp_reverse	pp_paired_mean	tg_forward	tg_reverse
repeats-3	01-control-b17	2755.22	2747.74	2751.5	299.55	288.14
repeats-3	02-subject-b17	3109.22	3099.54	3104.4	295.94	297.68
repeats-3	03-control-b18	2975.54	2699.03	2837.3	286.42	298.89
repeats-3	04-subject-b18	3016.39	2740.52	2878.5	293.67	292.22
repeats-3	05-control-b19	2966.22	2843.51	2904.9	297.12	281.40
repeats-3	06-subject-b19	3147.58	2870.64	3009.1	276.95	304.64
repeats-3	07-control-b20	3172.56	2937.79	3055.2	289.13	301.55
repeats-3	08-subject-b20	3292.16	3057.68	3174.9	299.85	298.55
repeats-3	09-closing-control-b17	1911.83	2029.47	1970.7	256.43	293.38
repeats-10	01-control-b17	3343.56	3139.11	3241.3	295.74	295.82
repeats-10	02-subject-b17	3724.89	3533.97	3629.4	296.70	296.64
repeats-10	03-control-b18	3305.63	3421.04	3363.3	297.48	295.30
repeats-10	04-subject-b18	3637.08	3776.74	3706.9	295.01	296.84
repeats-10	05-control-b19	3600.64	3566.95	3583.8	295.47	295.92
repeats-10	06-subject-b19	3925.40	3740.27	3832.8	291.92	294.17
repeats-10	07-control-b20	3544.68	3531.07	3537.9	295.97	288.29
repeats-10	08-subject-b20	3960.53	3826.26	3893.4	293.28	290.82
repeats-10	09-closing-control-b17	2991.25	3084.90	3038.1	285.53	296.55
