arm	spec_type	draft_n_max	prompt_id	prompt_tok_s	decode_tok_s	predicted_n	unique_4gram_ratio	vram_peak_mib	status
baseline	none	0	prose	680.1998086938038	205.6867962789242	256	0.2350	4145	ok
baseline	none	0	code	1939.9632428017153	219.0627550362957	256	0.9922	4167	ok
baseline	none	0	math	2650.0094643195152	220.22132675145045	256	0.9779	4167	ok
draft2	draft-simple	2	prose	556.1445280592294	87.89424013533645	256	0.2350	5123	ok
draft2	draft-simple	2	code	1136.7375631936343	75.5281192668974	256	0.9924	5123	ok
draft2	draft-simple	2	math	1898.4337921214997	78.75581866519079	256	1.0000	5123	ok
draft4	draft-simple	4	prose	606.209862276697	89.46768830580127	256	0.2523	4886	ok
draft4	draft-simple	4	code	1044.8171569975254	85.63475333664901	256	0.9847	4888	ok
draft4	draft-simple	4	math	1795.1019361456597	94.20098722634613	256	0.9091	4892	ok
draft8	draft-simple	8	prose	475.94966832257495	92.47637591247891	256	0.2523	4887	ok
draft8	draft-simple	8	code	984.9407739560924	85.49725201773514	256	0.9924	4887	ok
draft8	draft-simple	8	math	1766.1158067364704	85.91945270319444	256	0.9748	4893	ok
mtp	draft-mtp	1	prose	626.149571478887	265.59954671010695	256	0.2350	4082	ok
mtp	draft-mtp	1	code	1364.6484234719528	261.3077067328236	256	0.9922	4082	ok
mtp	draft-mtp	1	math	1601.281024819856	264.7986076785366	256	0.9779	4085	ok
ngram	ngram-simple	4	prose	734.9394823270022	459.45614806379774	256	0.2350	4019	ok
ngram	ngram-simple	4	code	1845.19763037778	216.11946066752944	256	0.9922	4031	ok
ngram	ngram-simple	4	math	2754.956461848772	207.16464714986128	256	0.9779	4033	ok
