level	repeat	request	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	1	0	468	128	29.593	519.158	0.554710
1	2	0	468	128	29.301	519.898	0.555007
1	3	0	468	128	29.311	518.885	0.553836
1	4	0	468	128	29.339	519.389	0.554536
2	1	0	468	128	54.454	587.727	0.647911
2	1	1	468	128	54.266	587.782	0.647911
2	2	0	468	128	54.630	587.921	0.648758
2	2	1	468	128	54.453	587.983	0.648758
2	3	0	468	128	54.289	588.665	0.649077
2	3	1	468	128	54.484	588.605	0.649077
2	4	0	468	128	54.483	588.246	0.649047
2	4	1	468	128	54.663	588.175	0.649047
4	1	0	468	128	105.955	700.384	0.812875
4	1	1	468	128	106.868	699.709	0.812875
4	1	2	468	128	106.194	700.262	0.812875
4	1	3	468	128	105.726	700.469	0.812875
4	2	0	468	128	105.592	700.562	0.812752
4	2	1	468	128	105.998	700.420	0.812752
4	2	2	468	128	105.382	700.634	0.812752
4	2	3	468	128	105.796	700.493	0.812752
4	3	0	468	128	106.658	700.568	0.813442
4	3	1	468	128	105.883	700.993	0.813442
4	3	2	468	128	106.138	700.864	0.813442
4	3	3	468	128	106.399	700.711	0.813442
4	4	0	468	128	105.748	701.138	0.813143
4	4	1	468	128	105.537	701.212	0.813143
4	4	2	468	128	105.979	701.037	0.813143
4	4	3	468	128	106.210	700.940	0.813143
7	1	0	468	128	203.149	937.026	1.147489
7	1	1	468	128	80.904	936.874	1.147489
7	1	2	468	128	122.644	1011.269	1.147489
7	1	3	468	128	121.905	1011.598	1.147489
7	1	4	468	128	122.128	1011.508	1.147489
7	1	5	468	128	81.622	936.285	1.147489
7	1	6	468	128	122.393	1011.378	1.147489
7	2	0	468	128	122.318	1011.355	1.146848
7	2	1	468	128	121.607	1011.674	1.146848
7	2	2	468	128	203.015	936.923	1.146848
7	2	3	468	128	121.836	1011.573	1.146848
7	2	4	468	128	122.076	1011.472	1.146848
7	2	5	468	128	81.276	936.644	1.146848
7	2	6	468	128	81.005	936.805	1.146848
7	3	0	468	128	79.735	1046.549	1.139944
7	3	1	468	128	79.956	1046.459	1.139944
7	3	2	468	128	115.261	937.767	1.139944
7	3	3	468	128	114.984	937.917	1.139944
7	3	4	468	128	80.197	1046.351	1.139944
7	3	5	468	128	115.738	937.525	1.139944
7	3	6	468	128	115.494	937.655	1.139944
7	4	0	468	128	121.810	1011.485	1.147018
7	4	1	468	128	122.287	1011.258	1.147018
7	4	2	468	128	122.033	1011.395	1.147018
7	4	3	468	128	80.841	936.742	1.147018
7	4	4	468	128	122.512	1011.157	1.147018
7	4	5	468	128	81.068	936.640	1.147018
7	4	6	468	128	203.059	936.840	1.147018
8	1	0	468	128	121.980	1148.269	1.285206
8	1	1	468	128	122.506	1148.006	1.285206
8	1	2	468	128	122.753	1147.876	1.285206
8	1	3	468	128	243.261	1034.130	1.285206
8	1	4	468	128	122.229	1148.159	1.285206
8	1	5	468	128	122.078	1032.936	1.285206
8	1	6	468	128	122.764	1032.379	1.285206
8	1	7	468	128	121.372	1033.528	1.285206
8	2	0	468	128	122.332	1139.566	1.276625
8	2	1	468	128	122.540	1139.428	1.276625
8	2	2	468	128	236.060	1032.755	1.276625
8	2	3	468	128	122.137	1139.676	1.276625
8	2	4	468	128	122.778	1139.302	1.276625
8	2	5	468	128	113.739	1032.501	1.276625
8	2	6	468	128	114.136	1032.235	1.276625
8	2	7	468	128	113.473	1032.632	1.276625
8	3	0	468	128	106.167	1144.277	1.264443
