request	task	batch_serial	mode	entry	image	image_ordinal	chunk_ordinal	slice	tensor	chunk_row_first	n_tokens	chunk_n_tokens	tensor_row_first	byte_first	byte_last_p1	source	buffer	graph_offset	digest	rowchain	expected_rowchain	rowchain_holds	contiguous
1	0	1	host	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	host	0	88	88	0	0	720896	host	CUDA_Host	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
2	51	2	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	host	0	512	816	0	0	4194304	host	CUDA_Host	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
2	51	2	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	host	512	304	816	512	4194304	6684672	host	CUDA_Host	0	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
3	54	3	host	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	host	0	88	88	0	0	720896	host	CUDA_Host	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
4	290	4	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	host	0	512	816	0	0	4194304	host	CUDA_Host	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
4	290	4	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	host	512	304	816	512	4194304	6684672	host	CUDA_Host	0	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
5	293	5	host	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	host	0	88	88	0	0	720896	host	CUDA_Host	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
6	531	6	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	host	0	512	816	0	0	4194304	host	CUDA_Host	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
6	531	6	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	host	512	304	816	512	4194304	6684672	host	CUDA_Host	0	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
7	636	7	host	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	host	0	88	88	0	0	720896	host	CUDA_Host	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
8	772	8	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	host	0	512	816	0	0	4194304	host	CUDA_Host	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
8	772	8	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	host	512	304	816	512	4194304	6684672	host	CUDA_Host	0	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
9	823	9	host	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	host	0	88	88	0	0	720896	host	CUDA_Host	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
