start_ns	end_ns	kind	bytes	src_kind	dst_kind	stream	api	kernel_before	kernel_after	embedding_sized	row_multiple
650129721	650144089	Host-to-Device	280800	Pinned	Device	16	cudaMemcpyAsync_v3020	-	-	yes	no
650164505	650176441	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
652684136	652698280	Host-to-Device	280800	Pinned	Device	18	cudaMemcpyAsync_v3020	-	-	yes	no
652714248	652726120	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
654976885	654991029	Host-to-Device	280800	Pinned	Device	20	cudaMemcpyAsync_v3020	-	-	yes	no
655004053	655015733	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
666450870	666560791	Host-to-Device	2527200	Pinned	Device	22	cudaMemcpyAsync_v3020	-	-	yes	no
666610647	666782200	Device-to-Host	2527200	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
672281816	672297144	Host-to-Device	280800	Pinned	Device	24	cudaMemcpyAsync_v3020	-	-	yes	no
672311480	672323160	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
674204835	674219427	Host-to-Device	280800	Pinned	Device	26	cudaMemcpyAsync_v3020	-	-	yes	no
674233827	674245539	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
676960371	676974067	Host-to-Device	280800	Pinned	Device	28	cudaMemcpyAsync_v3020	-	-	yes	no
676989139	677000851	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
679532161	679545665	Host-to-Device	280800	Pinned	Device	30	cudaMemcpyAsync_v3020	-	-	yes	no
679558849	679570497	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
681866447	681886639	Host-to-Device	441600	Pinned	Device	32	cudaMemcpyAsync_v3020	-	-	yes	no
681901487	681919247	Device-to-Host	441600	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
683756569	683766009	Host-to-Device	192000	Pinned	Device	34	cudaMemcpyAsync_v3020	-	-	yes	no
683777593	683785946	Device-to-Host	192000	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
696299681	696385314	Host-to-Device	1843200	Pinned	Device	36	cudaMemcpyAsync_v3020	-	-	yes	no
696419074	696501186	Device-to-Host	1843200	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
