graph_ordinal	arm	cycle	phase	topology_digest	n_tokens	n_outputs	n_kv	n_rs	action	executable	reset	change_reason	change_categories	change_node	change_op	change_name	host_us	device_ms
0	-	-1	-	7565fec99ff6ebb7	2	1	256	-1	direct	none	0	first_compute	-	-1	-	-	32961	38.6427
1	fixed	0	T0	da7570afdbb81394	252	0	256	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	14480	37.0196
2	fixed	0	T0	802ba1f19f5ea689	4	1	256	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	8182	13.4656
3	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	3395	8.5421
4	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	capture	update	0	none	-	-1	-	-	2917	9.8995
5	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	507	7.4129
6	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	483	7.4478
7	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	458	7.5016
8	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	458	7.5972
9	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	462	7.5716
10	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	459	7.5867
11	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	459	7.6057
12	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	461	7.5784
13	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	462	7.6442
14	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	462	7.5786
15	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	465	7.6230
