graph_ordinal	t_begin_ns	key	key_ordinal	topology_digest	pointer_digest	n_nodes	n_tokens	n_outputs	n_kv	n_rs	enabled	compatible	properties_changed	change_reason	change_node	change_op	change_name	change_categories	warmup_before	warmup_after	action	executable	host_us	device_ms
1257	1788562128497514245	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	3.7292
1258	1788562128502039605	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	476	3.7276
1259	1788562128506574653	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	509	3.7679
1260	1788562128511177408	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	474	3.7205
1261	1788562128515695804	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	505	3.7404
1262	1788562128520265327	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	512	3.7520
1263	1788562128524849917	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	3.7185
1264	1788562128529360750	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7307
1265	1788562128533875780	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7526
1266	1788562128538428551	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7260
1267	1788562128542941066	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7214
1268	1788562128547494709	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	3.7517
1269	1788562128552046548	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	475	3.7214
1270	1788562128556592597	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7535
1271	1788562128561144256	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7462
1272	1788562128565684543	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	505	3.7378
1273	1788562128570245520	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7320
1274	1788562128574777913	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7503
1275	1788562128579330082	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	3.7020
1276	1788562128583822210	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7365
1277	1788562128588353290	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7388
1278	1788562128592887085	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7072
1279	1788562128597422654	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7579
1280	1788562128602093226	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	546	3.7342
1281	1788562128606702644	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7328
1282	1788562128611225358	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7334
1283	1788562128615758042	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7435
1284	1788562128620293580	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7178
1285	1788562128624795496	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7531
1286	1788562128629338799	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7181
1287	1788562128633842358	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7136
1288	1788562128638342891	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7529
1289	1788562128642883389	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7144
1290	1788562128647392628	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7492
1291	1788562128651940220	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	3.7465
1292	1788562128656480076	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	465	3.7188
1293	1788562128660987262	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7273
1294	1788562128665505698	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	465	3.7599
