utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-08-31T06:08:00Z	2835	10501	50	149.26	83	35	1274	12282	0x0000000000000000	16384	1282	15102	26344512	1400	174172	50408	188480	2.70
2026-08-31T06:08:01Z	2835	10251	50	59.92	49	5	1496	12282	0x0000000000000000	16384	1504	14880	26145884	1400	174172	51980	189716	2.70
2026-08-31T06:08:02Z	2835	10251	49	58.56	49	4	1496	12282	0x0000000000000000	16384	1504	14880	26107008	1400	174172	54428	189720	2.70
2026-08-31T06:08:03Z	2835	10251	49	57.05	50	4	1496	12282	0x0000000000000000	16384	1504	14880	26145452	1400	174172	56340	189720	2.88
2026-08-31T06:08:04Z	2835	10251	48	57.18	67	6	4790	12282	0x0000000000000000	16384	4798	11586	26113476	1400	174172	57936	189720	2.88
2026-08-31T06:08:05Z	2835	10251	57	143.42	100	91	5002	12282	0x0000000000000000	16384	5010	11374	26018488	1400	174172	51960	189828	2.88
2026-08-31T06:08:06Z	2835	10251	57	200.75	99	93	5002	12282	0x0000000000000000	16384	5010	11374	26068268	1400	174172	51684	189736	2.88
2026-08-31T06:08:07Z	2820	10251	58	198.24	100	97	5002	12282	0x0000000000000000	16384	5010	11374	26082696	1400	174172	51776	189840	2.88
2026-08-31T06:08:08Z	2820	10251	57	201.43	100	96	5002	12282	0x0000000000000000	16384	5010	11374	26139860	1400	174172	51888	189960	2.89
