level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	0	4	128	12.276	519.008	0.532406
1	subject	1	0	4	128	12.290	519.446	0.532922
1	control	2	0	4	128	12.248	519.183	0.532579
1	subject	2	0	4	128	12.165	518.877	0.532188
1	control	3	0	4	128	12.228	520.069	0.533372
1	subject	3	0	4	128	12.135	519.713	0.532952
1	control	4	0	4	128	11.859	519.732	0.532679
1	subject	4	0	4	128	11.665	520.072	0.532780
3	control	1	0	4	128	21.480	642.230	0.665361
3	control	1	1	4	128	16.692	642.129	0.665361
3	control	1	2	4	128	12.573	641.989	0.665361
3	subject	1	0	4	128	21.044	643.107	0.665712
3	subject	1	1	4	128	16.658	643.001	0.665712
3	subject	1	2	4	128	12.575	642.876	0.665712
3	control	2	0	4	128	21.471	642.043	0.665207
3	control	2	1	4	128	16.823	641.943	0.665207
3	control	2	2	4	128	12.678	641.825	0.665207
3	subject	2	0	4	128	21.015	642.992	0.665679
3	subject	2	1	4	128	16.633	642.894	0.665679
3	subject	2	2	4	128	12.599	642.772	0.665679
3	control	3	0	4	128	21.017	645.171	0.667816
3	control	3	1	4	128	16.672	645.069	0.667816
3	control	3	2	4	128	12.546	644.949	0.667816
3	subject	3	0	4	128	21.178	643.077	0.665883
3	subject	3	1	4	128	16.763	642.947	0.665883
3	subject	3	2	4	128	12.728	642.797	0.665883
3	control	4	0	4	128	21.777	642.164	0.665598
3	control	4	1	4	128	16.897	642.061	0.665598
3	control	4	2	4	128	12.652	641.925	0.665598
3	subject	4	0	4	128	20.931	642.286	0.664836
3	subject	4	1	4	128	16.559	642.184	0.664836
3	subject	4	2	4	128	12.497	642.053	0.664836
