utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-01T05:47:20Z	2835	10251	50	105.08	90	39	1420	12282	0x0000000000000000	16384	1431	14953	23167448	1536	174308	114356	791164	3.18
2026-09-01T05:47:21Z	2835	10251	49	66.08	67	6	4215	12282	0x0000000000000000	16384	4227	12157	22947256	1536	174308	120372	792292	3.18
2026-09-01T05:47:22Z	2820	10251	56	134.85	99	86	4429	12282	0x0000000000000000	16384	4441	11943	22842780	1536	174308	115792	792296	3.18
2026-09-01T05:47:23Z	2820	10251	57	193.75	100	89	4429	12282	0x0000000000000000	16384	4441	11943	22851956	1536	174308	115612	792296	3.18
2026-09-01T05:47:24Z	2820	10251	57	193.54	100	88	4429	12282	0x0000000000000000	16384	4441	11943	22793060	1536	174308	115428	792296	3.18
