phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
opening-control	build-appliance-current	531	512	19	1	531	59.021	32	149.397	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	1	532	41.585	32	149.841	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	1	1043	71.819	32	145.293	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	1	1044	73.363	32	143.544	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	1	2067	141.129	32	149.313	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	1	2068	144.975	32	151.864	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	2	531	42.627	32	150.906	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	2	532	41.588	32	150.481	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	2	1043	73.852	32	151.21	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	2	1044	71.145	32	146.029	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	2	2067	138.093	32	144.342	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	2	2068	134.675	32	146.282	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	3	531	40.901	32	145.455	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	3	532	40.355	32	146.254	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	3	1043	71.585	32	146.597	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	3	1044	70.997	32	140.418	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	3	2067	136.588	32	143.359	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	3	2068	136.881	32	145.25	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	4	531	40.501	32	144.264	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	4	532	39.981	32	145.441	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	4	1043	74.297	32	149.173	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	4	1044	75.047	32	151.346	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	4	2067	143.733	32	153.093	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	4	2068	143.934	32	162.072	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	5	531	44.398	32	171.614	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	5	532	43.307	32	177.988	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	5	1043	76.883	32	182.403	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	5	1044	75.838	32	160.082	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	5	2067	137.38	32	162.816	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	5	2068	145.555	32	164.12	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	1	531	63.514	32	169.6	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	1	532	44.677	32	163.597	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	1	1043	79.416	32	169.525	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	1	1044	83.768	32	166.303	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	1	2067	138.658	32	162.078	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	1	2068	140.848	32	160.969	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	2	531	45.074	32	166.165	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	2	532	42.457	32	167.976	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	2	1043	76.772	32	162.646	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	2	1044	77.519	32	157.531	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
