phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
opening-control	build-appliance-current	531	512	19	1	531	34.276	32	114.309	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	1	532	28.45	32	106.268	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	1	1043	49.794	32	111.471	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	1	1044	47.404	32	110.582	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	1	2067	88.197	32	108.359	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	1	2068	92.209	32	108.316	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	2	531	27.809	32	107.537	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	2	532	27.439	32	118.958	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	2	1043	47.737	32	108.61	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	2	1044	47.29	32	110.093	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	2	2067	91.431	32	110.643	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	2	2068	87.097	32	111.481	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	3	531	28.36	32	108.196	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	3	532	28.591	32	127.056	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
