phase	pair	position	arm	closure	base	width	length	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256	content_sha256
warmup	0	0	control	build-appliance-current	512	19	531	531	68.646	32	175.299	7f8420209ffe0907e2e0678b11d72498b88d0030dacced3afceb91bc86320a94	763f4de51c44ef79236faa80534b35e27e1483a2e8e623f62dfe3f643f2042ca
warmup	0	0	subject	build-qwen-cuda-73af02b39194	512	19	531	531	70.293	32	171.841	7f8420209ffe0907e2e0678b11d72498b88d0030dacced3afceb91bc86320a94	763f4de51c44ef79236faa80534b35e27e1483a2e8e623f62dfe3f643f2042ca
warmup	0	0	control	build-appliance-current	512	20	532	532	50.776	32	174.627	2f4e2ccc6c292ec73bb383b014cc7e926313223df10ff9134df5b0a856e40635	5b6fea696431caca9672a6113889d141799b1f40a089c4dce829e8604f329240
warmup	0	0	subject	build-qwen-cuda-73af02b39194	512	20	532	532	43.033	32	170.071	2f4e2ccc6c292ec73bb383b014cc7e926313223df10ff9134df5b0a856e40635	5b6fea696431caca9672a6113889d141799b1f40a089c4dce829e8604f329240
warmup	0	0	control	build-appliance-current	1024	19	1043	1043	81.869	32	168.5	32e46f1d1e556879dbbe622420d234e1ea5b86044cc0f310f7a6138cc2dd5e26	e552f3e0a89debe9497d8e0531d37df929d2105ccbd41346f2b5c94377d600c5
warmup	0	0	subject	build-qwen-cuda-73af02b39194	1024	19	1043	1043	76.077	32	168.029	32e46f1d1e556879dbbe622420d234e1ea5b86044cc0f310f7a6138cc2dd5e26	e552f3e0a89debe9497d8e0531d37df929d2105ccbd41346f2b5c94377d600c5
warmup	0	0	control	build-appliance-current	1024	20	1044	1044	80.581	32	171.287	2f73273b2384ca43285677f16456d937ce1cf41381eb2153d687fa49b54a7275	8cade6c3d93562be2d72123faee45b107a2d252ad6188a1b5757a1b46f7f1f53
warmup	0	0	subject	build-qwen-cuda-73af02b39194	1024	20	1044	1044	74.763	32	157.965	2f73273b2384ca43285677f16456d937ce1cf41381eb2153d687fa49b54a7275	8cade6c3d93562be2d72123faee45b107a2d252ad6188a1b5757a1b46f7f1f53
warmup	0	0	control	build-appliance-current	2048	19	2067	2067	136.332	32	151.089	47955c45013389be6163f2497d6200e736e4e1a22936e82fb2e83d34e6f07951	147016769fdcd0a5d61ae64ef1e3a4f1ec01f3d5e4730cf8de7b6a6f4b65e54e
warmup	0	0	subject	build-qwen-cuda-73af02b39194	2048	19	2067	2067	139.193	32	165.236	47955c45013389be6163f2497d6200e736e4e1a22936e82fb2e83d34e6f07951	147016769fdcd0a5d61ae64ef1e3a4f1ec01f3d5e4730cf8de7b6a6f4b65e54e
warmup	0	0	control	build-appliance-current	2048	20	2068	2068	139.402	32	155.836	ff864d83b5429678c7e3a2e0081b317921b4f73ee0f94047603e50bbb0f070eb	c84c471ab17ee793297e5f98434c57b82aba3e18875aa7c31658a80391b790ad
warmup	0	0	subject	build-qwen-cuda-73af02b39194	2048	20	2068	2068	138.165	32	149.582	ff864d83b5429678c7e3a2e0081b317921b4f73ee0f94047603e50bbb0f070eb	c84c471ab17ee793297e5f98434c57b82aba3e18875aa7c31658a80391b790ad
paired	1	1	control	build-appliance-current	512	19	531	531	40.856	32	151.202	7f8420209ffe0907e2e0678b11d72498b88d0030dacced3afceb91bc86320a94	763f4de51c44ef79236faa80534b35e27e1483a2e8e623f62dfe3f643f2042ca
paired	1	2	subject	build-qwen-cuda-73af02b39194	512	19	531	531	41.69	32	153.375	7f8420209ffe0907e2e0678b11d72498b88d0030dacced3afceb91bc86320a94	763f4de51c44ef79236faa80534b35e27e1483a2e8e623f62dfe3f643f2042ca
paired	1	1	control	build-appliance-current	512	20	532	532	41.838	32	148.891	2f4e2ccc6c292ec73bb383b014cc7e926313223df10ff9134df5b0a856e40635	5b6fea696431caca9672a6113889d141799b1f40a089c4dce829e8604f329240
paired	1	2	subject	build-qwen-cuda-73af02b39194	512	20	532	532	41.561	32	151.598	2f4e2ccc6c292ec73bb383b014cc7e926313223df10ff9134df5b0a856e40635	5b6fea696431caca9672a6113889d141799b1f40a089c4dce829e8604f329240
paired	1	1	control	build-appliance-current	1024	19	1043	1043	73.965	32	146.868	32e46f1d1e556879dbbe622420d234e1ea5b86044cc0f310f7a6138cc2dd5e26	e552f3e0a89debe9497d8e0531d37df929d2105ccbd41346f2b5c94377d600c5
paired	1	2	subject	build-qwen-cuda-73af02b39194	1024	19	1043	1043	73.364	32	145.67	32e46f1d1e556879dbbe622420d234e1ea5b86044cc0f310f7a6138cc2dd5e26	e552f3e0a89debe9497d8e0531d37df929d2105ccbd41346f2b5c94377d600c5
paired	1	1	control	build-appliance-current	1024	20	1044	1044	72.078	32	146.882	2f73273b2384ca43285677f16456d937ce1cf41381eb2153d687fa49b54a7275	8cade6c3d93562be2d72123faee45b107a2d252ad6188a1b5757a1b46f7f1f53
paired	1	2	subject	build-qwen-cuda-73af02b39194	1024	20	1044	1044	72.798	32	159.988	2f73273b2384ca43285677f16456d937ce1cf41381eb2153d687fa49b54a7275	8cade6c3d93562be2d72123faee45b107a2d252ad6188a1b5757a1b46f7f1f53
paired	1	1	control	build-appliance-current	2048	19	2067	2067	138.871	32	149.407	47955c45013389be6163f2497d6200e736e4e1a22936e82fb2e83d34e6f07951	147016769fdcd0a5d61ae64ef1e3a4f1ec01f3d5e4730cf8de7b6a6f4b65e54e
paired	1	2	subject	build-qwen-cuda-73af02b39194	2048	19	2067	2067	137.847	32	149.364	47955c45013389be6163f2497d6200e736e4e1a22936e82fb2e83d34e6f07951	147016769fdcd0a5d61ae64ef1e3a4f1ec01f3d5e4730cf8de7b6a6f4b65e54e
paired	1	1	control	build-appliance-current	2048	20	2068	2068	137.099	32	152.029	ff864d83b5429678c7e3a2e0081b317921b4f73ee0f94047603e50bbb0f070eb	c84c471ab17ee793297e5f98434c57b82aba3e18875aa7c31658a80391b790ad
paired	1	2	subject	build-qwen-cuda-73af02b39194	2048	20	2068	2068	138.156	32	149.691	ff864d83b5429678c7e3a2e0081b317921b4f73ee0f94047603e50bbb0f070eb	c84c471ab17ee793297e5f98434c57b82aba3e18875aa7c31658a80391b790ad
