level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	0	4	128	14.541	541.879	0.557605
1	subject	1	0	4	128	12.993	540.331	0.554474
1	control	2	0	4	128	12.583	538.308	0.551994
1	subject	2	0	4	128	12.885	539.257	0.553369
1	control	3	0	4	128	13.002	537.209	0.551360
1	subject	3	0	4	128	14.222	561.196	0.576618
1	control	4	0	4	128	15.007	552.805	0.569105
1	subject	4	0	4	128	12.475	538.446	0.552045
3	control	1	0	4	128	25.587	674.352	0.701929
3	control	1	1	4	128	20.129	674.226	0.701929
3	control	1	2	4	128	14.651	674.120	0.701929
3	subject	1	0	4	128	22.846	689.875	0.714547
3	subject	1	1	4	128	18.056	689.769	0.714547
3	subject	1	2	4	128	13.519	689.675	0.714547
3	control	2	0	4	128	21.637	690.790	0.714098
3	control	2	1	4	128	17.200	690.674	0.714098
3	control	2	2	4	128	12.987	690.527	0.714098
3	subject	2	0	4	128	25.285	711.730	0.738875
3	subject	2	1	4	128	20.347	711.646	0.738875
3	subject	2	2	4	128	15.938	711.618	0.738875
3	control	3	0	4	128	22.836	699.692	0.724240
3	control	3	1	4	128	18.086	699.583	0.724240
3	control	3	2	4	128	13.713	699.441	0.724240
3	subject	3	0	4	128	22.276	697.480	0.721385
3	subject	3	1	4	128	17.390	697.354	0.721385
3	subject	3	2	4	128	13.167	697.223	0.721385
3	control	4	0	4	128	21.778	688.850	0.712468
3	control	4	1	4	128	17.345	688.743	0.712468
3	control	4	2	4	128	13.166	688.624	0.712468
3	subject	4	0	4	128	24.755	721.734	0.748408
3	subject	4	1	4	128	19.402	721.614	0.748408
3	subject	4	2	4	128	14.030	721.503	0.748408
