arm	step	ready_s	request_s	prompt_ms	predicted_ms	maps_while_serving	resident_a_pages	resident_b_pages	cached_kb	available_kb	sectors_read	major_faults	advise_s
control-1	start	-	-	-	-	-	1411155	320353	13328404	20088216	7725894942	60139532	-
control-1	load-a	1.288	0.244	22.641	216.390	1	1411155	320353	13327504	20180048	7725894958	60139534	-
control-1	load-b	0.621	0.088	13.886	69.827	1	1411155	320353	13320492	20109376	7725894966	60139535	-
control-1	reload-a	1.166	0.243	23.587	214.013	1	1411155	320353	13326452	20153100	7725894966	60139536	-
advise	start	-	-	-	-	-	1411155	320353	13326452	20152516	7725894966	60139536	-
advise	load-a	1.152	0.244	22.973	216.060	1	1411155	320353	13326212	20108320	7725895094	60139552	-
advise	advise-a	-	-	-	-	-	0	320353	7683428	19746648	7725895094	60139552	0.180
advise	load-b	0.622	0.087	13.610	68.376	1	0	320353	7681564	20145456	7725895102	60139553	-
advise	reload-a	17.144	0.255	28.492	217.726	1	695249	0	5904804	22367312	7749174070	60278573	-
control-2	start	-	-	-	-	-	695249	0	5904828	22365408	7749175446	60278835	-
control-2	load-a	5.256	0.404	57.113	342.068	1	1411155	0	8965676	22042004	7755687718	60349147	-
control-2	load-b	1.890	0.162	18.046	138.748	1	1411155	320353	10319148	21954488	7758413198	60367638	-
control-2	reload-a	1.295	0.282	36.905	239.993	1	1411155	320353	10328760	22000252	7758453334	60373698	-
