model_id	layer	operand	ggml_type	n_embd_gqa	depth	row_bytes	logical_tensor_bytes	unit	unit_bytes	row_divides_unit	rows_per_unit	units_intersected	tail_waste_bytes
qwen35-08b	3	K	q8_0	512	65536	544	35651584	minimum	2097152	no	3855.059	17	0
qwen35-08b	3	K	q8_0	512	65536	544	35651584	recommended	2097152	no	3855.059	17	0
qwen35-08b	3	V	q4_0	512	65536	288	18874368	minimum	2097152	no	7281.778	9	0
qwen35-08b	3	V	q4_0	512	65536	288	18874368	recommended	2097152	no	7281.778	9	0
qwen35-08b	7	K	q8_0	512	65536	544	35651584	minimum	2097152	no	3855.059	17	0
qwen35-08b	7	K	q8_0	512	65536	544	35651584	recommended	2097152	no	3855.059	17	0
qwen35-08b	7	V	q4_0	512	65536	288	18874368	minimum	2097152	no	7281.778	9	0
qwen35-08b	7	V	q4_0	512	65536	288	18874368	recommended	2097152	no	7281.778	9	0
qwen35-08b	11	K	q8_0	512	65536	544	35651584	minimum	2097152	no	3855.059	17	0
qwen35-08b	11	K	q8_0	512	65536	544	35651584	recommended	2097152	no	3855.059	17	0
qwen35-08b	11	V	q4_0	512	65536	288	18874368	minimum	2097152	no	7281.778	9	0
qwen35-08b	11	V	q4_0	512	65536	288	18874368	recommended	2097152	no	7281.778	9	0
qwen35-08b	15	K	q8_0	512	65536	544	35651584	minimum	2097152	no	3855.059	17	0
qwen35-08b	15	K	q8_0	512	65536	544	35651584	recommended	2097152	no	3855.059	17	0
qwen35-08b	15	V	q4_0	512	65536	288	18874368	minimum	2097152	no	7281.778	9	0
qwen35-08b	15	V	q4_0	512	65536	288	18874368	recommended	2097152	no	7281.778	9	0
qwen35-08b	19	K	q8_0	512	65536	544	35651584	minimum	2097152	no	3855.059	17	0
qwen35-08b	19	K	q8_0	512	65536	544	35651584	recommended	2097152	no	3855.059	17	0
qwen35-08b	19	V	q4_0	512	65536	288	18874368	minimum	2097152	no	7281.778	9	0
qwen35-08b	19	V	q4_0	512	65536	288	18874368	recommended	2097152	no	7281.778	9	0
qwen35-08b	23	K	q8_0	512	65536	544	35651584	minimum	2097152	no	3855.059	17	0
qwen35-08b	23	K	q8_0	512	65536	544	35651584	recommended	2097152	no	3855.059	17	0
qwen35-08b	23	V	q4_0	512	65536	288	18874368	minimum	2097152	no	7281.778	9	0
qwen35-08b	23	V	q4_0	512	65536	288	18874368	recommended	2097152	no	7281.778	9	0
