01-forward-nice19-Qwen3.8-4B-Q4_K_M	pp512=22.22±0.03	tg64=3.08±0.27	
02-forward-nice19-Qwen3.8-2B-Q4_K_M	pp512=50.19±1.29	tg64=7.66±0.05	
03-forward-nice19-Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	pp512=62.19±0.38	tg64=8.48±0.10	
04-forward-nice19-Qwen3.8-4B-Q4_K_M	pp512=19.75±0.18	tg64=2.96±0.03	
05-forward-nice19-Qwen3.8-2B-Q4_K_M	pp512=50.68±0.62	tg64=7.73±0.02	
06-forward-nice19-Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	pp512=62.41±0.58	tg64=8.28±0.17	
07-reverse-nice19-Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	pp512=62.34±1.27	tg64=8.44±0.16	
08-reverse-nice19-Qwen3.8-2B-Q4_K_M	pp512=51.57±0.81	tg64=7.64±0.12	
09-reverse-nice19-Qwen3.8-4B-Q4_K_M	pp512=19.99±0.57	tg64=2.95±0.02	
10-reverse-nice19-Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	pp512=62.65±0.85	tg64=8.43±0.05	
11-reverse-nice19-Qwen3.8-2B-Q4_K_M	pp512=51.15±0.95	tg64=7.71±0.08	
12-reverse-nice19-Qwen3.8-4B-Q4_K_M	pp512=19.86±0.16	tg64=2.95±0.01	
