01-forward-nice19-Qwen3.8-4B-Q4_K_M	pp512=22.56±0.03	tg64=3.41±0.01	
02-forward-nice19-Qwen3.8-2B-Q4_K_M	pp512=57.09±0.57	tg64=8.46±0.36	
03-forward-nice19-Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	pp512=63.13±1.41	tg64=8.52±0.09	
04-forward-nice19-Qwen3.5-0.8B-Q8_0	pp512=145.69±0.69	tg64=15.24±0.20	
05-forward-nice19-Qwen_Qwen3.5-0.8B-Q4_K_M	pp512=134.49±0.70	tg64=15.21±0.31	
06-forward-nice19-Qwen3-Zero-Coder-Reasoning-0.8B-NEO3-EX-D_AU-Q4_K_M-imat	pp512=102.90±0.56	tg64=15.75±0.40	
07-reverse-nice19-Qwen3-Zero-Coder-Reasoning-0.8B-NEO3-EX-D_AU-Q4_K_M-imat	pp512=101.45±3.70	tg64=16.17±0.26	
08-reverse-nice19-Qwen_Qwen3.5-0.8B-Q4_K_M	pp512=135.32±0.91	tg64=15.12±0.55	
09-reverse-nice19-Qwen3.5-0.8B-Q8_0	pp512=146.75±0.30	tg64=15.38±0.15	
10-reverse-nice19-Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	pp512=63.04±1.03	tg64=8.49±0.04	
11-reverse-nice19-Qwen3.8-2B-Q4_K_M	pp512=51.47±0.36	tg64=7.72±0.04	
12-reverse-nice19-Qwen3.8-4B-Q4_K_M	pp512=19.53±0.20	tg64=2.95±0.01	
