pass	nice_observed	model	streamed_bytes	decode_tok_s	prefill_tok_s	achieved_gb_s	mclk_modal	temp_c_max	load_mean	load_max
forward	19	Qwen3.8-4B-Q4_K_M	2697836544	3.08	22.22	8.31	1067	87.0	4.23	5.05
forward	19	Qwen3.8-2B-Q4_K_M	1263435008	7.66	50.19	9.68	1067	87.0	4.84	5.90
forward	19	Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	980097536	8.48	62.19	8.31	1067	85.0	5.22	5.90
forward	19	Qwen3.8-4B-Q4_K_M	2697836544	2.96	19.75	7.99	1067	86.0	4.22	4.73
forward	19	Qwen3.8-2B-Q4_K_M	1263435008	7.73	50.68	9.77	1067	86.0	3.83	4.22
forward	19	Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	980097536	8.28	62.41	8.12	1067	85.0	3.92	4.09
reverse	19	Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	980097536	8.44	62.34	8.27	1067	85.0	4.08	4.91
reverse	19	Qwen3.8-2B-Q4_K_M	1263435008	7.64	51.57	9.65	1067	85.0	4.51	4.91
reverse	19	Qwen3.8-4B-Q4_K_M	2697836544	2.95	19.99	7.96	1067	87.0	4.16	4.59
reverse	19	Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	980097536	8.43	62.65	8.26	1067	85.0	4.47	5.09
reverse	19	Qwen3.8-2B-Q4_K_M	1263435008	7.71	51.15	9.74	1067	85.0	4.61	5.11
reverse	19	Qwen3.8-4B-Q4_K_M	2697836544	2.95	19.86	7.96	1067	87.0	4.78	6.03
