1728	7189	11022304	41795104
167172	141625	10957984	41795104
294024	262169	10823188	41795104
458828	426973	10671636	41795104
156540	124558	10687468	41795104
157576	125361	10687692	41795104
199348	182157	9903240	41794912
357476	325261	9937996	41794912
357476	325261	9951844	41794864
159840	127625	9950732	41794864
159840	127625	9950492	41794864
159840	127625	9950492	41794864
159840	127625	9950492	41794864
159920	127705	9950492	41794864
159920	127705	9950492	41794864
159920	127705	9950492	41794864
159920	127705	9950492	41794864
159920	127705	9958452	41794864
159920	127705	9958052	41794864
159920	127705	9957948	41794864
159920	127705	9958096	41794864
159920	127705	9965928	41794864
159920	127705	9965928	41794864
159920	127705	9964844	41794864
159920	127705	9964740	41794864
159920	127705	9972604	41794864
159920	127705	9972312	41794864
159920	127705	9972312	41794864
159920	127705	9972312	41794864
160204	127989	9972312	41794864
160204	127989	9980716	41794864
160204	127989	9980716	41794864
160204	127989	9980464	41794864
160204	127989	9980316	41794864
160204	127989	9987872	41794864
160204	127989	9987712	41794864
160204	127989	9987712	41794864
160204	127989	9987712	41794864
157892	125677	10003820	41794864
