role	object	bytes	sha256	source
executable	llama-server	57696808	4117a9c4d58e530c3c5ef6934596ae6d257ca61ef80c5f0f8a5ee71d1d63ca79	raven2-vulkan-production
executable	llama-cli	57865008	59b8154a83cb3da1555e07330a7ca7bf5cefd3de2603791302f2c29388e9c21c	raven2-vulkan-production
executable	llama-mtmd-cli	55806024	dd094cfbddf4bc971c003a3612b8a83a34c6f39e05b6cac871ed78cdd98e54af	raven2-vulkan-production
executable	llama-bench	54160040	557d6690d338bc79b81ea690762a0d8987c0ca66f3c122a5fcc0f2a8420df092	raven2-vulkan-production
linked	/usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275	510592	e833b010f814b72c6aca0300c8b5f19b6106ffa06c24ddc95a293970c7d6058e	libvulkan1 1.3.275.0-1build1
linked	/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33	2592224	1fd75fe70354a416d75aef22bcae68c47bd25d20e2d0568c30b1a9838cf62f11	libstdc++6 14.2.0-4ubuntu2~24.04.1
linked	/usr/lib/x86_64-linux-gnu/libm.so.6	952616	e9c4b28d340e415b8137480ec442662f981e1399386c5931dae0e886e3639e91	libc6 2.39-0ubuntu8.8
linked	/usr/lib/x86_64-linux-gnu/libgcc_s.so.1	183024	d93224d2b0dab4247598be683adca02f5cf00586f99c187579cd7e92058fb7cb	libgcc-s1 14.2.0-4ubuntu2~24.04.1
linked	/usr/lib/x86_64-linux-gnu/libc.so.6	2125328	8db37cf3f2169f59a0f07ef1fea308c35656668c64c8ff294e1860f4121eb161	libc6 2.39-0ubuntu8.8
linked	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	236616	cd4df4f3c7b83673d61189bf2eaebd33ca4f2853ab9772b8a25e025ef99b1e81	libc6 2.39-0ubuntu8.8
icd	/usr/lib/x86_64-linux-gnu/libvulkan_radeon.so	19274208	93683965315b4fcd00d2f4934edf51f8c20123e2efa26b1dcc6d58544f5bdd28	mesa-vulkan-drivers 26.2.1+git2608201115.88947685514~n~mesarc0
