token	span_ns	device_busy_ns	device_idle_ns	idle_between_device_rows_ns	idle_outside_device_work_ns	api_host_ns	sync_host_ns	host_uncovered_ns
0	3394595	3102209	292386	151841	140545	3355567	3191084	39028
1	2947402	2721500	225902	85762	140140	2913996	2752444	33406
2	3238531	2931903	306628	168706	137922	3196420	3029976	42111
3	2936832	2706365	230467	89889	140578	2902270	2740374	34562
4	2968162	2747038	221124	83424	137700	2936038	2778893	32124
5	3239412	2948798	290614	99778	190836	3201582	3040739	37830
6	2994882	2749596	245286	101634	143652	2954115	2784786	40767
7	3349540	3035265	314275	172257	142018	3289689	3121923	59851
8	2979282	2741437	237845	98305	139540	2944335	2782643	34947
9	3351904	3033152	318752	181346	137406	3285072	3124035	66832
10	2955849	2729630	226219	86912	139307	2921524	2758597	34325
11	3318922	3015073	303849	166881	136968	3278635	3117153	40287
12	2951891	2715068	236823	92162	144661	2916019	2751130	35872
13	3077597	2759261	318336	111969	206367	3028884	2786528	48713
14	3324072	2973343	350729	96674	254055	3283574	3051086	40498
15	2983380	2753917	229463	90401	139062	2950219	2790396	33161
16	3368295	3073985	294310	155394	138916	3327912	3164495	40383
17	2983741	2755997	227744	86753	140991	2951288	2789563	32453
18	3345382	3063937	281445	145569	135876	3309564	3151598	35818
19	2952993	2729852	223141	83873	139268	2920451	2761842	32542
20	3453937	3057313	396624	199906	196718	3392473	3139214	61464
21	3046880	2735966	310914	98528	212386	3005002	2762423	41878
22	3395065	2999775	395290	255588	139702	3357064	3192966	38001
23	2965006	2732702	232304	93152	139152	2927055	2765160	37951
24	3302050	3001472	300578	159490	141088	3260822	3094400	41228
25	2957201	2714750	242451	101984	140467	2915300	2747003	41901
26	2995613	2754300	241313	96418	144895	2957573	2790447	38040
27	3372343	3054080	318263	156834	161429	3329752	3136766	42591
28	3033534	2781821	251713	111969	139744	2986661	2817994	46873
29	3329372	3034240	295132	154497	140635	3288857	3123116	40515
30	3023376	2760862	262514	122336	140178	2981921	2816298	41455
31	3311708	3024159	287549	146178	141371	3273088	3107275	38620
32	2973001	2738140	234861	95745	139116	2932022	2768083	40979
33	3286371	2989151	297220	156994	140226	3245818	3080199	40553
34	2949717	2716476	233241	93761	139480	2912117	2750693	37600
35	2998869	2771229	227640	88513	139127	2963922	2803991	34947
36	3303102	3004031	299071	92994	206077	3265002	3103427	38100
37	3003098	2771485	231613	92481	139132	2967910	2807699	35188
38	3319573	3020736	298837	152801	146036	3281951	3108136	37622
39	3003608	2775646	227962	86368	141594	2969043	2806857	34565
40	3318111	3024737	293374	154433	138941	3277355	3113856	40756
41	2976808	2748189	228619	87105	141514	2943357	2780479	33451
42	3251034	2957759	293275	154466	138809	3211004	3048671	40030
43	3224945	3000320	224625	84673	139952	3192303	3032422	32642
44	3402229	3003808	398421	260450	137971	3363550	3203054	38679
45	2993780	2757948	235832	95202	140630	2955358	2793001	38422
46	3408601	3001599	407002	266979	140023	3356442	3170523	52159
47	2928447	2701342	227105	86848	140257	2891680	2730005	36767
48	2984863	2767869	216994	80449	136545	2954635	2799174	30228
49	3297111	3009887	287224	149314	137910	3260153	3100311	36958
50	3007265	2775997	231268	91425	139843	2973614	2813201	33651
51	3306389	3015104	291285	153282	138003	3266785	3105981	39604
52	2964574	2739357	225217	85697	139520	2931234	2771241	33340
53	3267766	2957248	310518	168737	141781	3228048	3059551	39718
54	2949857	2724541	225316	85121	140195	2917034	2756632	32823
55	3310456	2998752	311704	174721	136983	3279569	3123857	30887
56	2934518	2714748	219770	83297	136473	2903820	2747065	30698
57	3229314	2771229	458085	321443	136642	3199649	3044877	29665
58	3191883	2949663	242220	105217	137003	3151729	2990456	40154
59	3004720	2774974	229746	86880	142866	2969243	2803573	35477
