token	span_ns	device_busy_ns	device_idle_ns	idle_between_device_rows_ns	idle_outside_device_work_ns	api_host_ns	sync_host_ns	host_uncovered_ns
0	9579916	8887196	692720	168580	524140	9535129	8988380	44787
1	11092676	9691523	1401153	886765	514388	11049683	10512550	42993
2	9638377	8941757	696620	179844	516776	9588893	9044838	49484
3	11313642	9700101	1613541	895339	718202	11262581	10504074	51061
4	10195255	9020159	1175096	592550	582546	10148938	9543047	46317
5	10934158	9576101	1358057	475301	882756	10888200	10162753	45958
6	9687178	8984574	702604	169987	532617	9637734	9080656	49444
7	10707441	8898908	1808533	884075	924458	10660661	10114393	46780
8	10192590	9503939	688651	169155	519496	10148407	9607429	44183
9	9861617	8407512	1454105	618024	836081	9815006	9257907	46611
10	7725493	6540807	1184686	666598	518088	7685870	7147696	39623
11	7593264	6865291	727973	214496	513477	7551182	7018198	42082
12	7382297	6369762	1012535	496359	516176	7345132	6807430	37165
13	7562205	6835367	726838	215235	511603	7523018	6991919	39187
14	7578186	6831431	746755	229060	517695	7536337	6998666	41849
15	7808589	7084298	724291	211203	513088	7772939	7237172	35650
16	7349896	6368741	981155	211329	769826	7312063	6779381	37833
17	7341229	6486119	855110	220640	634470	7295033	6760036	46196
18	8037180	6951593	1085587	424997	660590	7995099	7436207	42081
19	7468629	6520389	948240	426276	521964	7429295	6891012	39334
20	7333435	6392739	940696	425509	515187	7295628	6764115	37807
21	7387446	6444100	943346	426725	516621	7346918	6812402	40528
22	7721395	6989035	732360	214049	518311	7680321	7141636	41074
23	7593735	6873832	719903	206787	513116	7559120	7028982	34615
24	7704965	6984715	720250	211841	508409	7667163	7141111	37802
25	7625444	6427589	1197855	682183	515672	7581794	7045583	43650
26	7682993	6459430	1223563	707110	516453	7620075	7070230	62918
27	8150243	6962410	1187833	425860	761973	8098378	7309401	51865
28	7634732	6535558	1099174	421155	678019	7591250	7010255	43482
29	7436429	6502500	933929	419397	514532	7393026	6858448	43403
30	7429706	6489221	940485	422564	517921	7381723	6838130	47983
31	7704323	6883914	820409	227617	592792	7655591	7032806	48732
32	7712859	6965386	747473	226594	520879	7666224	7121997	46635
33	7736915	6992393	744522	226019	518503	7686521	7145631	50394
34	7616828	6860391	756437	227940	528497	7567598	7015726	49230
35	7655742	6910347	745395	215297	530098	7611975	7061379	43767
36	6451283	5792284	658999	140003	518996	6411728	5874114	39555
37	4649668	3934472	715196	201059	514137	4602641	4065219	47027
38	3529229	2882010	647219	129894	517325	3485699	2947073	43530
39	3845033	3060511	784522	128515	656007	3800839	3175232	44194
40	3751677	3067997	683680	163749	519931	3696251	3141996	55426
41	3559646	2857854	701792	126370	575422	3518004	2979641	41642
42	3826448	3127103	699345	188645	510700	3790010	3260834	36438
43	3473904	2845017	628887	117606	511281	3438312	2909575	35592
44	3772567	3058237	714330	197957	516373	3729886	3193586	42681
45	3489824	2846521	643303	124358	518945	3453228	2915865	36596
46	3852427	3037373	815054	301862	513192	3817172	3285681	35255
47	3482750	2845211	637539	121988	515551	3447334	2913628	35416
48	3886311	3181917	704394	194695	509699	3841903	3308840	44408
49	3490365	2852090	638275	118661	519614	3453493	2915148	36872
50	3751477	2834205	917272	410405	506867	3712595	3187193	38882
51	3488361	2854012	634349	125764	508585	3451821	2924477	36540
52	3876894	3181153	695741	180451	515290	3840980	3306956	35914
53	3507206	2873756	633450	121668	511782	3471024	2940577	36182
54	3866644	3161792	704852	183459	521393	3828613	3287643	38031
55	3522436	2887709	634727	117346	517381	3487726	2952939	34710
56	3807582	3078972	728610	126950	601660	3765926	3199518	41656
57	3590404	2875353	715051	198056	516995	3553507	3019109	36897
58	3519500	2819998	699502	122081	577421	3480617	2941911	38883
59	3898534	3121856	776678	259908	516770	3859457	3324711	39077
