# Five back-to-back admissions per arm, d6-chain-4 at 3600 steps, one
# workstation, nothing else holding the card. The captures are discarded and
# the three timings retained, because what this answers is the spread between
# repeats of one configuration rather than any one run.
#
arm	run	simulate_ms	state_read_ms	wall_ms
physics-d6-chain-a	1	1397.64	0.001423	2201.29
physics-d6-chain-a	2	1410.37	0.001533	1692
physics-d6-chain-a	3	1375.74	0.001713	1660.93
physics-d6-chain-a	4	1388.99	0.001293	1643.36
physics-d6-chain-a	5	1360.71	0.001763	1622.32
physics-d6-chain-a-direct	1	1353.49	0.371367	1636.22
physics-d6-chain-a-direct	2	1359.47	0.298781	1637.08
physics-d6-chain-a-direct	3	1367.81	0.881655	1626.13
physics-d6-chain-a-direct	4	1415.9	0.348364	1684.1
physics-d6-chain-a-direct	5	1366.21	0.374683	1630.24
