model	file	prompt_tokens	completion_tokens	finish	reasoning_chars	content_chars	context_boundary	wall_ms	tool_call	http_status	outcome
qwen38-4b-distill	sys/arch/rp2040/dev/flash_swap.c	1223	312	stop	599	976	no	2726	yes	200	stop
qwen38-4b-distill	bin/cat/cat.c	2051	401	stop	610	1078	no	3610	yes	200	stop
qwen38-4b-distill	sys/arch/rp2040/dev/usb.c	8760	608	stop	588	1779	no	6456	yes	200	stop
oxcoder-9b	sys/arch/rp2040/dev/flash_swap.c	1223	2048	length	1989	6394	no	34452	no	200	capped
oxcoder-9b	bin/cat/cat.c	2051	2048	length	1974	6873	no	34917	no	200	capped
oxcoder-9b	sys/arch/rp2040/dev/usb.c	8760	707	stop	1811	899	no	14193	no	200	stop
ornith15-9b	sys/arch/rp2040/dev/flash_swap.c	1223	790	stop	2194	1290	no	13547	yes	200	stop
ornith15-9b	bin/cat/cat.c	2051	798	stop	1536	1568	no	14142	yes	200	stop
ornith15-9b	sys/arch/rp2040/dev/usb.c	8760	1019	stop	1705	1955	no	19518	yes	200	stop
qwen3-4b-instruct-2507	sys/arch/rp2040/dev/flash_swap.c	1120	212	stop	0	1138	no	2712	yes	200	stop
qwen3-4b-instruct-2507	bin/cat/cat.c	1827	298	stop	0	1402	no	3707	yes	200	stop
qwen3-4b-instruct-2507	sys/arch/rp2040/dev/usb.c	8244	287	stop	0	1357	no	5073	yes	200	stop
qwable-9b-fable5	sys/arch/rp2040/dev/flash_swap.c	1223	679	stop	2315	771	no	14067	yes	200	stop
qwable-9b-fable5	bin/cat/cat.c	2051	672	stop	2109	696	no	13792	yes	200	stop
qwable-9b-fable5	sys/arch/rp2040/dev/usb.c	8760	766	stop	1997	906	no	17705	yes	200	stop
klear-agentforge-8b	sys/arch/rp2040/dev/flash_swap.c	1120	498	stop	0	2526	no	9018	no	200	stop
klear-agentforge-8b	bin/cat/cat.c	1827	622	stop	0	2957	no	11088	no	200	stop
klear-agentforge-8b	sys/arch/rp2040/dev/usb.c	8244	609	stop	0	2858	no	13426	no	200	stop
hammer21-3b	sys/arch/rp2040/dev/flash_swap.c	1120	74	stop	0	382	no	1348	no	200	stop
hammer21-3b	bin/cat/cat.c	1827	144	stop	0	699	no	2544	no	200	stop
hammer21-3b	sys/arch/rp2040/dev/usb.c	8244	158	stop	0	710	no	3584	no	200	stop
granite40-micro	sys/arch/rp2040/dev/flash_swap.c	1114	309	stop	0	1643	no	5743	yes	200	stop
granite40-micro	bin/cat/cat.c	1819	106	stop	0	546	no	2166	yes	200	stop
granite40-micro	sys/arch/rp2040/dev/usb.c	7987	622	stop	0	2782	no	13248	yes	200	stop
swe-dev-7b	sys/arch/rp2040/dev/flash_swap.c	1120	225	stop	0	1091	no	3713	no	200	stop
swe-dev-7b	bin/cat/cat.c	1827	122	stop	0	664	no	2230	no	200	stop
swe-dev-7b	sys/arch/rp2040/dev/usb.c	8244	176	stop	0	914	no	4633	no	200	stop
swe-agent-lm-7b	sys/arch/rp2040/dev/flash_swap.c	1120	469	stop	0	2245	no	7391	no	200	stop
swe-agent-lm-7b	bin/cat/cat.c	1827	524	stop	0	2517	no	8515	no	200	stop
swe-agent-lm-7b	sys/arch/rp2040/dev/usb.c	8244	1884	stop	0	8767	no	34447	no	200	stop
roster_done
