level	repeat	request	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	1	0	468	128	19.202	387.601	0.412443
1	2	0	468	128	19.155	387.949	0.412870
1	3	0	468	128	19.173	387.309	0.412219
1	4	0	468	128	19.179	388.680	0.413711
2	1	0	468	128	35.078	453.224	0.493907
2	1	1	468	128	35.310	453.122	0.493907
2	2	0	468	128	35.055	453.952	0.495000
2	2	1	468	128	35.234	453.891	0.495000
2	3	0	468	128	35.488	453.233	0.494488
2	3	1	468	128	35.277	453.313	0.494488
2	4	0	468	128	35.298	452.096	0.493151
2	4	1	468	128	35.084	452.184	0.493151
4	1	0	468	128	69.458	558.969	0.634447
4	1	1	468	128	68.765	559.552	0.634447
4	1	2	468	128	68.236	559.824	0.634447
4	1	3	468	128	68.489	559.711	0.634447
4	2	0	468	128	68.288	560.137	0.634852
4	2	1	468	128	68.839	559.838	0.634852
4	2	2	468	128	68.556	560.001	0.634852
4	2	3	468	128	69.096	559.717	0.634852
4	3	0	468	128	68.728	561.403	0.636244
4	3	1	468	128	68.980	561.286	0.636244
4	3	2	468	128	68.474	561.546	0.636244
4	3	3	468	128	68.224	561.668	0.636244
4	4	0	468	128	68.419	559.370	0.633958
4	4	1	468	128	68.893	559.143	0.633958
4	4	2	468	128	68.176	559.482	0.633958
4	4	3	468	128	68.662	559.267	0.633958
7	1	0	468	128	68.356	763.320	0.844151
7	1	1	468	128	68.863	763.073	0.844151
7	1	2	468	128	69.530	762.518	0.844151
7	1	3	468	128	57.658	709.962	0.844151
7	1	4	468	128	68.597	763.220	0.844151
7	1	5	468	128	57.934	709.802	0.844151
7	1	6	468	128	58.193	709.678	0.844151
7	2	0	468	128	54.272	711.413	0.853499
7	2	1	468	128	80.392	760.188	0.853499
7	2	2	468	128	80.637	760.081	0.853499
7	2	3	468	128	135.163	711.549	0.853499
7	2	4	468	128	81.138	759.847	0.853499
7	2	5	468	128	54.535	711.272	0.853499
7	2	6	468	128	80.891	759.950	0.853499
7	3	0	468	128	57.079	710.430	0.843647
7	3	1	468	128	68.851	762.508	0.843647
7	3	2	468	128	68.351	762.750	0.843647
7	3	3	468	128	68.587	762.644	0.843647
7	3	4	468	128	57.317	710.308	0.843647
7	3	5	468	128	57.564	710.172	0.843647
7	3	6	468	128	69.101	762.373	0.843647
7	4	0	468	128	54.563	709.980	0.852516
7	4	1	468	128	135.105	710.294	0.852516
7	4	2	468	128	80.867	759.248	0.852516
7	4	3	468	128	80.629	759.372	0.852516
7	4	4	468	128	80.396	759.471	0.852516
7	4	5	468	128	54.255	710.155	0.852516
7	4	6	468	128	81.101	759.114	0.852516
8	1	0	468	128	161.546	767.157	0.936457
8	1	1	468	128	80.490	842.201	0.936457
8	1	2	468	128	80.710	842.096	0.936457
8	1	3	468	128	81.248	841.821	0.936457
8	1	4	468	128	80.978	841.968	0.936457
8	1	5	468	128	80.966	766.638	0.936457
8	1	6	468	128	82.325	765.526	0.936457
8	1	7	468	128	81.681	766.048	0.936457
8	2	0	468	128	52.603	861.164	0.930962
8	2	1	468	128	52.120	861.339	0.930962
8	2	2	468	128	85.490	781.686	0.930962
8	2	3	468	128	85.744	781.545	0.930962
8	2	4	468	128	52.352	861.289	0.930962
8	2	5	468	128	85.240	781.816	0.930962
8	2	6	468	128	85.996	781.421	0.930962
8	2	7	468	128	107.036	764.455	0.930962
8	3	0	468	128	81.357	835.244	0.929666
8	3	1	468	128	75.810	765.063	0.929666
8	3	2	468	128	157.156	765.199	0.929666
8	3	3	468	128	81.600	835.117	0.929666
8	3	4	468	128	81.051	835.421	0.929666
8	3	5	468	128	80.754	835.584	0.929666
8	3	6	468	128	76.337	764.790	0.929666
8	3	7	468	128	76.066	764.934	0.929666
8	4	0	468	128	81.239	837.038	0.931595
8	4	1	468	128	80.972	837.192	0.931595
8	4	2	468	128	81.486	836.924	0.931595
8	4	3	468	128	80.731	837.297	0.931595
8	4	4	468	128	156.857	767.178	0.931595
8	4	5	468	128	76.294	766.747	0.931595
8	4	6	468	128	75.767	767.031	0.931595
8	4	7	468	128	76.032	766.890	0.931595
10	1	0	468	128	81.041	981.942	1.082601
10	1	1	468	128	80.247	982.352	1.082601
10	1	2	468	128	80.507	982.234	1.082601
10	1	3	468	128	80.786	982.077	1.082601
10	1	4	468	128	86.770	902.007	1.082601
10	1	5	468	128	167.173	902.276	1.082601
10	1	6	468	128	34.921	871.896	1.082601
10	1	7	468	128	86.520	902.136	1.082601
10	1	8	468	128	121.103	872.491	1.082601
10	1	9	468	128	87.021	901.886	1.082601
10	2	0	468	128	80.498	1003.554	1.104267
10	2	1	468	128	86.100	923.923	1.104267
10	2	2	468	128	166.995	924.052	1.104267
10	2	3	468	128	81.291	1003.215	1.104267
10	2	4	468	128	80.754	1003.446	1.104267
10	2	5	468	128	81.024	1003.332	1.104267
10	2	6	468	128	34.582	894.163	1.104267
10	2	7	468	128	86.625	923.725	1.104267
10	2	8	468	128	120.807	894.310	1.104267
10	2	9	468	128	86.358	923.806	1.104267
10	3	0	468	128	81.553	983.792	1.084784
10	3	1	468	128	81.842	983.624	1.084784
10	3	2	468	128	168.043	903.898	1.084784
10	3	3	468	128	80.963	984.105	1.084784
10	3	4	468	128	81.247	983.979	1.084784
10	3	5	468	128	86.457	903.760	1.084784
10	3	6	468	128	86.727	903.606	1.084784
10	3	7	468	128	86.989	903.464	1.084784
10	3	8	468	128	121.754	873.423	1.084784
10	3	9	468	128	35.148	873.278	1.084784
10	4	0	468	128	86.332	904.254	1.085580
10	4	1	468	128	81.313	984.282	1.085580
10	4	2	468	128	81.646	984.074	1.085580
10	4	3	468	128	81.018	984.422	1.085580
10	4	4	468	128	81.958	983.885	1.085580
10	4	5	468	128	167.897	904.396	1.085580
10	4	6	468	128	86.883	903.934	1.085580
10	4	7	468	128	86.591	904.108	1.085580
10	4	8	468	128	121.122	874.382	1.085580
10	4	9	468	128	34.633	874.236	1.085580
11	1	0	468	128	80.865	1071.992	1.174302
11	1	1	468	128	88.737	989.808	1.174302
11	1	2	468	128	168.696	991.334	1.174302
