utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-01T05:43:05Z	2835	10251	49	155.52	99	69	1419	12282	0x0000000000000000	16384	1431	14953	22731916	1536	174308	113056	790308	3.12
2026-09-01T05:43:06Z	2835	10251	53	83.07	63	5	2581	12282	0x0000000000000000	16384	2593	13791	22493844	1536	174308	114896	791436	3.12
2026-09-01T05:43:08Z	2835	10251	53	138.82	99	69	2581	12282	0x0000000000000000	16384	2593	13791	22427480	1536	174308	114836	791404	3.12
