# Every distinct patches/ tree in qwen-nvidia history, named by the
# earliest commit carrying it. The manifest labels each historical
# reconstruction by this date and abbreviated commit.
patches_tree	commit	date
e4026f7462b21db0c8cb5dc087d6b907cc77ccfc	9c5142f9ea9cc28d97ab90f50559c569999b43af	2026-08-29
edc6b41c142fe03f62c481e313e894d334b0f652	014df039cbc5f9e387811dbbb1b8d6d2e433a233	2026-08-29
896788263ce4360f37c692262672f03483ef0a13	77ab42fa795dc51f4f06fa1e5924c582c14842e2	2026-08-30
d3843f3fd08ac567e6c316704df0ebd38405be0d	085963707fdcef586d9f21d661a15b065b280cae	2026-08-31
15f09530f690f3df8fc27100281f365280018fa6	a6f4e1b1088fe8044bf2faaa89af6604230f9b30	2026-09-01
246f45f32ed995d29282074fd958ecc3f8f052b4	f326f00114287cbd29a16d412923868e4e615b08	2026-09-01
b1f8df3fde971490b690be3836bacf0f8c2247fe	9e68f14ebf905d0c1f4a1ca3490341716218a1af	2026-09-01
7be5ad0abef73193780c5680f7a48de66490bb60	14c6dd06a0e2b4b29d78ffb68ee1bc5cae0edbaf	2026-09-03
1325fa4c7251d16be1296b63328a4fd83edadefd	4f94fc4380694bdb4562c64c88147afd9a46b9a0	2026-09-04
1467c2eb1ab2919b0b0b68ddeae23fbe22c63aee	d2e9bfa7e4273780d98b1405104105d51ac42e9f	2026-09-04
190d73952cdf597578c67b137e6f5f90c0395c5e	a875508fa0c0f420d6fa56c8e4be25ed89dbcb8a	2026-09-04
1cf181486ae896dee346fa0e3ac2de9ecd6533ad	0514a0e4e4699aacaa46b6793976d247d1bef205	2026-09-04
82c74eabb4f1128eddcde980d0c0af897d9215ea	ab263c943131ae491ddcff50c989432cdcce1598	2026-09-04
84db6396e13ad16a496247e4a58d41bc354e0bd1	1b6bf60985b1db0658648f0f51aa918ca668329d	2026-09-04
926b6463c4a26c01cd559317899e36d12128dde5	d5316bd0e997010645c43fcf8e7e5aded4326253	2026-09-04
ac0f1cc4d3eb09e9c5eb06720e8abaa6b16d9bf1	bea5c915732311c44303607dfc4c1c4a0b5e3fad	2026-09-04
efd40072062e7a4a1bacce3ac25f67c2c9007c9e	5ea2fdf4e6c6ab59b28439f80db9e7dacdc251c1	2026-09-04
f237ef8110c2ee613187b83a21a2f1d25a7c22fe	be0a3e04133942376603246a582f1b432811ad7c	2026-09-04
01a24e459f4f57027ddeb869eecfaf4f5f57beb1	5545a253096eef67194ee52bb4925b1d21e2a58f	2026-09-05
01e856a3f7700f45ffb971db904aaee1d94139d0	dcc0e2974cc4865da184cad0f50e9ef9acd70cb3	2026-09-05
