utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-01T05:42:16Z	2835	10251	49	63.47	60	24	1419	12282	0x0000000000000000	16384	1431	14953	22743844	1536	174308	114180	790372	3.08
2026-09-01T05:42:17Z	2820	10251	53	77.94	95	35	2581	12282	0x0000000000000000	16384	2593	13791	22448812	1536	174308	115524	791564	3.08
2026-09-01T05:42:18Z	2820	10251	54	160.10	99	74	2581	12282	0x0000000000000000	16384	2593	13791	22414768	1536	174308	115444	791500	3.08
